"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
2.610000000E1,-5.191832525E-1,1.997370810E-2,1.145159264E-2
2.620000000E1,-5.447495989E-1,2.889529772E-2,9.321063780E-3
2.630000000E1,-5.773733221E-1,2.889529772E-2,4.660531890E-3
2.640000000E1,-6.005428235E-1,2.130528864E-2,1.291633124E-2
2.650000000E1,-6.580671029E-1,1.917475978E-2,1.424791178E-2
2.660000000E1,-6.880276650E-1,3.289003934E-2,6.657902700E-3
2.670000000E1,-7.122624308E-1,2.796319134E-2,6.791060754E-3
2.680000000E1,-7.467503668E-1,3.009372020E-2,8.388957402E-3
2.690000000E1,-7.539409017E-1,3.581951653E-2,1.597896648E-3
2.700000000E1,-7.605988044E-1,2.636529469E-2,3.062635242E-3
2.710000000E1,-7.609982786E-1,8.921589618E-3,2.530003026E-3
2.720000000E1,-7.448861541E-1,2.982740410E-2,1.065264432E-3
2.730000000E1,-7.194529658E-1,3.142530074E-2,5.858954376E-3
2.740000000E1,-6.941529355E-1,3.528688431E-2,3.595267458E-3
2.750000000E1,-6.623281606E-1,2.490055610E-2,3.861583566E-3
2.760000000E1,-6.258428538E-1,1.970739199E-2,9.454221834E-3
2.770000000E1,-5.728459483E-1,1.211738291E-2,1.051948627E-2
2.780000000E1,-5.536711885E-1,2.876213966E-2,1.238369902E-2
2.790000000E1,-5.250422069E-1,1.944107588E-2,1.917475978E-2
2.800000000E1,-4.765726753E-1,2.024002421E-2,1.411475372E-2
2.810000000E1,-4.430168457E-1,2.490055610E-2,1.304948929E-2
2.820000000E1,-4.106594385E-1,2.170476280E-2,5.858954376E-3
2.830000000E1,-3.950799462E-1,2.024002421E-2,1.331580540E-2
2.840000000E1,-3.729757093E-1,-3.462109404E-3,1.731054702E-2
2.850000000E1,-3.568635847E-1,1.291633124E-2,1.731054702E-2
2.860000000E1,-3.428819890E-1,2.956108799E-2,7.323692970E-3
2.870000000E1,-3.579288492E-1,2.902845577E-2,1.131843459E-2
2.880000000E1,-3.506051562E-1,1.757686313E-2,1.384843762E-2
2.890000000E1,-3.576625330E-1,1.131843459E-2,1.225054097E-2
2.900000000E1,-3.663178066E-1,2.663161080E-2,9.986854050E-3
2.910000000E1,-3.856257244E-1,2.037318226E-2,1.051948627E-2
